iter	Passed	Remaining
194	485	2003
195	487	2001
196	489	1997
197	492	1993
198	494	1990
199	496	1987
200	499	1983
201	501	1981
202	503	1978
203	506	1976
204	508	1973
205	511	1971
206	513	1968
207	516	1966
208	518	1963
209	521	1959
210	523	1957
211	525	1954
212	527	1950
213	530	1947
214	532	1944
215	534	1941
216	537	1938
217	539	1935
218	542	1933
219	544	1930
220	546	1926
221	548	1923
222	551	1919
223	553	1917
224	556	1916
225	558	1913
226	560	1910
227	563	1907
228	565	1903
229	567	1900
230	570	1898
231	572	1895
232	574	1891
233	577	1890
234	579	1887
235	582	1886
236	584	1883
237	587	1880
238	589	1877
239	592	1875
240	594	1872
241	596	1869
242	598	1865
243	601	1862
244	603	1861
245	606	1858
246	608	1854
247	610	1852
248	613	1850
249	615	1847
250	618	1844
251	620	1842
252	623	1839
253	625	1836
254	627	1833
255	630	1831
256	632	1828
257	634	1825
258	636	1822
259	639	1820
260	641	1816
261	644	1814
262	646	1811
263	648	1808
264	651	1805
265	653	1802
266	655	1799
267	658	1797
268	660	1795
269	662	1792
270	665	1790
271	667	1787
272	670	1785
273	672	1782
274	674	1778
275	677	1776
276	679	1772
277	681	1770
278	683	1766
279	685	1763
280	688	1761
281	690	1758
282	693	1756
283	695	1754
284	697	1751
285	700	1748
286	702	1744
287	704	1741
288	706	1739
289	709	1736
290	711	1734
291	714	1731
292	716	1729
293	719	1726
294	721	1723
295	723	1720
296	725	1718
297	728	1715
298	730	1712
299	733	1710
300	735	1707
301	737	1705
302	740	1702
303	742	1700
304	744	1697
305	747	1694
306	749	1692
307	752	1689
308	754	1687
309	757	1685
310	759	1682
311	761	1680
312	764	1677
313	766	1674
314	769	1672
315	771	1669
316	773	1666
317	776	1664
318	778	1662
319	780	1659
320	783	1656
321	785	1653
322	787	1650
323	789	1648
324	792	1645
325	794	1642
326	796	1639
327	799	1637
328	801	1634
329	803	1631
330	805	1628
331	808	1625
332	810	1623
333	812	1620
334	815	1618
335	817	1614
336	819	1612
337	821	1609
338	824	1607
339	826	1604
340	829	1602
341	831	1599
342	833	1596
343	835	1593
344	838	1591
345	840	1588
346	842	1586
347	845	1584
348	847	1581
349	850	1579
350	852	1576
351	855	1574
352	857	1572
353	860	1569
354	862	1566
355	864	1564
356	866	1561
357	869	1558
358	871	1555
359	873	1553
360	876	1551
361	878	1548
362	881	1546
363	883	1543
364	904	1573
365	906	1570
366	909	1567
367	911	1564
368	913	1562
369	916	1559
370	918	1556
371	920	1553
372	922	1551
373	925	1548
374	927	1545
375	929	1543
376	932	1540
377	934	1537
378	937	1535
379	939	1533
380	942	1530
381	944	1528
382	946	1525
383	949	1523
384	951	1520
385	953	1517
386	956	1514
387	958	1512
388	960	1509
389	963	1506
390	965	1504
391	968	1501
392	970	1498
393	972	1495
394	974	1493
395	977	1490
396	979	1488
397	982	1485
398	984	1483
399	986	1480
400	989	1477
401	991	1474
402	993	1472
403	996	1469
404	998	1466
405	1000	1464
406	1003	1461
407	1005	1459
408	1007	1456
409	1010	1453
410	1012	1451
411	1015	1448
412	1017	1445
413	1019	1443
414	1021	1440
415	1024	1438
416	1026	1435
417	1029	1433
418	1031	1430
419	1033	1427
420	1036	1425
421	1038	1422
422	1041	1420
423	1043	1417
424	1045	1414
425	1047	1411
426	1050	1409
427	1052	1407
428	1055	1404
429	1057	1401
430	1060	1399
431	1062	1397
432	1065	1394
433	1067	1391
434	1069	1389
435	1072	1387
436	1074	1384
437	1077	1382
438	1079	1379
439	1082	1377
440	1084	1374
441	1086	1371
442	1089	1369
443	1091	1367
444	1094	1364
445	1096	1361
446	1098	1359
447	1101	1356
448	1103	1354
449	1105	1351
450	1108	1349
451	1110	1346
452	1113	1344
453	1115	1341
454	1117	1338
455	1120	1336
456	1122	1333
457	1124	1331
458	1127	1328
459	1129	1325
460	1131	1323
461	1134	1320
462	1136	1318
463	1138	1315
464	1141	1313
465	1143	1310
466	1145	1307
467	1148	1305
468	1150	1303
469	1153	1300
470	1155	1298
471	1158	1295
472	1160	1292
473	1162	1289
474	1164	1287
475	1167	1284
476	1169	1282
477	1171	1279
478	1174	1277
479	1176	1274
480	1179	1272
481	1181	1269
482	1183	1266
483	1185	1264
484	1187	1261
485	1190	1258
486	1192	1256
487	1194	1253
488	1196	1250
489	1199	1248
490	1201	1245
491	1204	1243
492	1209	1243
493	1211	1240
494	1213	1238
495	1215	1235
496	1218	1233
497	1220	1230
498	1223	1228
499	1225	1225
500	1227	1222
501	1230	1220
502	1232	1217
503	1235	1215
504	1237	1212
505	1239	1210
506	1242	1207
507	1244	1205
508	1247	1203
509	1249	1200
510	1251	1198
511	1254	1195
512	1257	1193
513	1259	1190
514	1261	1188
515	1264	1185
516	1266	1183
517	1268	1180
518	1271	1178
519	1273	1175
520	1276	1173
521	1278	1171
522	1281	1168
523	1283	1165
524	1285	1163
525	1288	1160
526	1290	1158
527	1292	1155
528	1295	1153
529	1297	1150
530	1299	1147
531	1301	1145
532	1304	1142
533	1306	1140
534	1308	1137
535	1311	1135
536	1313	1132
537	1315	1129
538	1317	1127
539	1319	1123
540	1321	1121
541	1323	1118
542	1325	1115
543	1328	1113
544	1330	1110
545	1333	1108
546	1335	1106
547	1337	1103
548	1339	1100
549	1342	1098
550	1344	1095
551	1346	1092
552	1349	1090
553	1351	1088
554	1353	1085
555	1355	1082
556	1358	1080
557	1360	1077
558	1362	1074
559	1364	1072
560	1366	1069
561	1369	1066
562	1371	1064
563	1373	1061
564	1376	1059
565	1378	1056
566	1380	1054
567	1383	1052
568	1385	1049
569	1387	1046
570	1389	1044
571	1392	1041
572	1394	1039
573	1396	1036
574	1399	1034
575	1401	1031
576	1403	1029
577	1405	1026
578	1408	1024
579	1410	1021
580	1413	1019
581	1415	1016
582	1418	1014
583	1420	1012
584	1423	1009
585	1425	1007
586	1427	1004
587	1430	1002
588	1432	999
589	1434	997
590	1437	994
591	1439	992
592	1442	989
593	1444	987
594	1447	985
595	1449	982
596	1451	980
597	1454	977
598	1456	975
599	1458	972
600	1461	970
601	1463	967
602	1466	965
603	1468	962
604	1470	960
605	1473	957
606	1475	955
607	1477	952
608	1479	950
609	1482	947
610	1484	945
611	1487	942
612	1489	940
613	1492	938
614	1494	935
615	1496	933
616	1499	930
617	1501	928
618	1504	925
619	1506	923
620	1508	920
621	1510	918
622	1513	915
623	1515	913
624	1518	911
625	1520	908
626	1522	905
627	1525	903
628	1527	901
629	1530	898
630	1532	896
631	1534	893
632	1537	891
633	1539	888
634	1542	886
635	1543	883
636	1545	880
637	1548	878
638	1550	875
639	1552	873
640	1554	870
641	1556	868
642	1559	865
643	1561	863
644	1563	860
645	1565	858
646	1568	855
647	1570	853
648	1572	850
649	1575	848
650	1577	845
651	1578	842
652	1580	840
653	1583	837
654	1585	835
655	1592	835
656	1595	832
657	1597	830
658	1599	827
659	1602	825
660	1604	823
661	1607	820
662	1609	818
663	1612	815
664	1614	813
665	1616	810
666	1619	808
667	1621	806
668	1624	803
669	1626	801
670	1629	798
671	1631	796
672	1633	793
673	1636	791
674	1638	789
675	1641	786
676	1643	784
677	1646	781
678	1648	779
679	1650	776
680	1652	774
681	1655	771
682	1657	769
683	1659	766
684	1662	764
685	1664	761
686	1666	759
687	1669	757
688	1671	754
689	1674	752
690	1676	749
691	1678	747
692	1680	744
693	1683	742
694	1685	739
695	1687	737
696	1690	734
697	1692	732
698	1694	729
699	1697	727
700	1699	724
701	1701	722
702	1704	719
703	1706	717
704	1708	714
705	1710	712
706	1713	710
707	1715	707
708	1718	705
709	1720	702
710	1722	700
711	1725	697
712	1727	695
713	1729	692
714	1731	690
715	1734	687
716	1736	685
717	1738	682
718	1740	680
719	1742	677
720	1745	675
721	1747	672
722	1749	670
723	1752	667
724	1754	665
725	1756	662
726	1757	660
727	1760	657
728	1762	655
729	1765	652
730	1768	650
731	1770	648
732	1772	645
733	1775	643
734	1777	640
735	1780	638
736	1782	636
737	1784	633
738	1786	631
739	1789	628
740	1791	626
741	1794	623
742	1797	621
743	1799	619
744	1801	616
745	1804	614
746	1806	611
747	1809	609
748	1811	606
749	1813	604
750	1815	602
751	1818	599
752	1820	597
753	1822	594
754	1825	592
755	1827	589
756	1830	587
757	1832	584
758	1834	582
759	1837	580
760	1839	577
761	1842	575
762	1844	572
763	1847	570
764	1849	568
765	1851	565
766	1854	563
767	1856	560
768	1859	558
769	1861	555
770	1863	553
771	1865	550
772	1868	548
773	1870	546
774	1873	543
775	1876	541
776	1879	539
777	1881	536
778	1883	534
779	1886	532
780	1888	529
781	1891	527
782	1893	524
783	1896	522
784	1898	520
785	1901	517
786	1903	515
787	1905	512
788	1908	510
789	1910	507
790	1913	505
791	1915	503
792	1917	500
793	1920	498
794	1922	495
795	1924	493
796	1926	490
797	1929	488
798	1931	485
799	1934	483
800	1936	481
801	1938	478
802	1941	476
803	1943	473
804	1945	471
805	1947	468
806	1950	466
807	1952	464
808	1955	461
809	1957	459
810	1960	456
811	1962	454
812	1964	451
813	1967	449
814	1969	447
815	1971	444
816	1974	442
817	1976	439
818	1979	437
819	1981	434
820	1983	432
821	1985	430
822	1988	427
823	1990	425
824	1992	422
825	1995	420
826	1997	417
827	2000	415
828	2002	413
829	2004	410
830	2007	408
831	2010	405
832	2012	403
833	2014	401
834	2017	398
835	2019	396
836	2022	393
837	2024	391
838	2027	389
839	2029	386
840	2031	384
841	2034	381
842	2036	379
843	2038	376
844	2041	374
845	2043	371
846	2045	369
847	2047	367
848	2050	364
849	2066	364
850	2068	362
851	2071	359
852	2073	357
853	2075	354
854	2078	352
855	2080	350
856	2083	347
857	2085	345
858	2088	342
859	2090	340
860	2093	337
861	2096	335
862	2098	333
863	2101	330
864	2103	328
865	2105	325
866	2108	323
867	2110	320
868	2113	318
869	2115	316
870	2118	313
871	2120	311
872	2122	308
873	2125	306
874	2127	303
875	2130	301
876	2132	299
877	2134	296
878	2137	294
879	2139	291
880	2141	289
881	2144	286
882	2146	284
883	2148	281
884	2151	279
885	2153	277
886	2155	274
887	2157	272
888	2160	269
889	2162	267
890	2164	264
891	2166	262
892	2169	259
893	2171	257
894	2174	255
895	2176	252
896	2178	250
897	2181	247
898	2183	245
899	2185	242
900	2187	240
901	2190	237
902	2192	235
903	2194	233
904	2197	230
905	2199	228
906	2201	225
907	2203	223
908	2206	220
909	2208	218
910	2211	216
911	2213	213
912	2215	211
913	2218	208
914	2220	206
915	2223	203
916	2225	201
917	2227	198
918	2230	196
919	2232	194
920	2234	191
921	2236	189
922	2239	186
923	2241	184
924	2244	181
925	2247	179
926	2262	178
927	2265	175
928	2268	173
929	2270	170
930	2272	168
931	2274	165
932	2277	163
933	2279	161
934	2281	158
935	2284	156
936	2286	153
937	2288	151
938	2309	150
939	2312	147
940	2314	145
941	2317	142
942	2319	140
943	2321	137
944	2323	135
945	2326	132
946	2328	130
947	2330	127
948	2333	125
949	2335	122
950	2337	120
951	2340	118
952	2342	115
953	2345	113
954	2347	110
955	2349	108
956	2351	105
957	2354	103
958	2356	100
959	2359	98
960	2361	95
961	2363	93
962	2366	90
963	2368	88
964	2371	85
965	2373	83
966	2375	81
967	2378	78
968	2380	76
969	2382	73
970	2385	71
971	2387	68
972	2389	66
973	2391	63
974	2393	61
975	2396	58
976	2398	56
977	2400	54
978	2402	51
979	2405	49
980	2407	46
981	2409	44
982	2412	41
983	2414	39
984	2417	36
985	2419	34
986	2421	31
987	2424	29
988	2426	26
989	2428	24
990	2445	22
991	2448	19
992	2450	17
993	2452	14
994	2455	12
995	2457	9
996	2459	7
997	2462	4
998	2464	2
999	2466	0
